interval_class,timestamp_before,timestamp_after,interval_minutes,close_before,close_after,close_change,absolute_close_change,before_open,before_high,before_low,before_close,after_open,after_high,after_low,after_close
exact_15_minute,2022-08-10T12:15:00Z,2022-08-10T12:30:00Z,15.0,1.02437,1.03373,0.009360000000000035,0.009360000000000035,1.02515,1.02572,1.02437,1.02437,1.02435,1.03462,1.02401,1.03373
longer_than_15_minute_gap,2017-04-21T20:45:00Z,2017-04-23T21:00:00Z,2895.0,1.07238,1.09023,0.01784999999999992,0.01784999999999992,1.07231,1.07307,1.07142,1.07238,1.09169,1.09181,1.08819,1.09023
longer_than_15_minute_gap,2015-06-26T20:45:00Z,2015-06-28T21:00:00Z,2895.0,1.11661,1.09909,-0.017520000000000202,0.017520000000000202,1.11629,1.11731,1.11587,1.11661,1.10036,1.10086,1.09909,1.09909
longer_than_15_minute_gap,2010-05-07T21:00:00Z,2010-05-09T21:00:00Z,2880.0,1.2751,1.2908,0.015700000000000047,0.015700000000000047,1.2751,1.2751,1.2751,1.2751,1.2918,1.292,1.2868,1.2908
longer_than_15_minute_gap,2013-03-15T20:45:00Z,2013-03-17T21:00:00Z,2895.0,1.30752,1.29299,-0.014529999999999932,0.014529999999999932,1.30714,1.30761,1.30688,1.30752,1.29074,1.29304,1.29037,1.29299
longer_than_15_minute_gap,2010-04-09T20:45:00Z,2010-04-11T21:00:00Z,2895.0,1.3497,1.3632,0.013500000000000068,0.013500000000000068,1.3495,1.3498,1.3492,1.3497,1.366,1.3672,1.363,1.3632
longer_than_15_minute_gap,2022-02-25T21:45:00Z,2022-02-27T22:00:00Z,2895.0,1.12719,1.11491,-0.012279999999999847,0.012279999999999847,1.12728,1.12738,1.12691,1.12719,1.11237,1.11544,1.11225,1.11491
longer_than_15_minute_gap,2011-08-05T20:45:00Z,2011-08-07T21:00:00Z,2895.0,1.4281,1.4402,0.0121,0.0121,1.4288,1.4293,1.4273,1.4281,1.4423,1.4431,1.4396,1.4402
longer_than_15_minute_gap,2012-06-08T20:45:00Z,2012-06-10T21:00:00Z,2895.0,1.25158,1.26336,0.011780000000000124,0.011780000000000124,1.25119,1.25183,1.25088,1.25158,1.264,1.26405,1.26317,1.26336
longer_than_15_minute_gap,2015-07-03T20:45:00Z,2015-07-05T21:00:00Z,2895.0,1.11128,1.09958,-0.011700000000000044,0.011700000000000044,1.10981,1.11155,1.10855,1.11128,1.09905,1.09965,1.0978,1.09958
longer_than_15_minute_gap,2025-01-31T21:45:00Z,2025-02-02T22:00:00Z,2895.0,1.03602,1.02543,-0.010589999999999877,0.010589999999999877,1.03596,1.03631,1.03563,1.03602,1.02327,1.02567,1.02324,1.02543
longer_than_15_minute_gap,2023-07-27T11:45:00Z,2023-07-27T13:00:00Z,75.0,1.11385,1.10368,-0.010170000000000012,0.010170000000000012,1.11393,1.11406,1.11339,1.11385,1.10591,1.10652,1.10337,1.10368
longer_than_15_minute_gap,2011-09-16T20:45:00Z,2011-09-18T21:00:00Z,2895.0,1.3795,1.3705,-0.008999999999999897,0.008999999999999897,1.3783,1.38,1.3783,1.3795,1.3692,1.3714,1.3691,1.3705
longer_than_15_minute_gap,2016-06-24T20:45:00Z,2016-06-26T21:00:00Z,2895.0,1.11162,1.10289,-0.008730000000000127,0.008730000000000127,1.10864,1.11169,1.10861,1.11162,1.1007,1.10332,1.10047,1.10289
longer_than_15_minute_gap,2023-03-22T16:45:00Z,2023-03-22T18:00:00Z,75.0,1.0794,1.08754,0.008140000000000036,0.008140000000000036,1.07923,1.07971,1.07911,1.0794,1.08805,1.08816,1.08524,1.08754
longer_than_15_minute_gap,2023-03-15T09:45:00Z,2023-03-15T12:00:00Z,135.0,1.06269,1.0548,-0.007889999999999953,0.007889999999999953,1.06371,1.06415,1.06196,1.06269,1.05562,1.05583,1.05399,1.0548
longer_than_15_minute_gap,2023-04-04T12:45:00Z,2023-04-04T15:00:00Z,135.0,1.08911,1.09667,0.007560000000000011,0.007560000000000011,1.09019,1.09025,1.08867,1.08911,1.09693,1.09701,1.09598,1.09667
longer_than_15_minute_gap,2025-04-04T20:45:00Z,2025-04-06T21:00:00Z,2895.0,1.09573,1.08826,-0.007470000000000088,0.007470000000000088,1.09431,1.0966,1.09429,1.09573,1.08894,1.08947,1.08792,1.08826
longer_than_15_minute_gap,2016-12-02T21:45:00Z,2016-12-04T22:00:00Z,2895.0,1.06602,1.05866,-0.007360000000000033,0.007360000000000033,1.06677,1.06737,1.06602,1.06602,1.06633,1.06633,1.05798,1.05866
longer_than_15_minute_gap,2013-09-13T20:45:00Z,2013-09-15T21:00:00Z,2895.0,1.32928,1.33658,0.007300000000000084,0.007300000000000084,1.3296,1.33009,1.32919,1.32928,1.33596,1.33741,1.33578,1.33658
longer_than_15_minute_gap,2023-03-07T14:45:00Z,2023-03-07T17:00:00Z,135.0,1.06477,1.0576,-0.007169999999999899,0.007169999999999899,1.06445,1.06507,1.06401,1.06477,1.05725,1.05769,1.05703,1.0576
longer_than_15_minute_gap,2010-06-18T21:00:00Z,2010-06-20T21:00:00Z,2880.0,1.2386,1.2456,0.007000000000000117,0.007000000000000117,1.2386,1.2386,1.2386,1.2386,1.2451,1.2463,1.2445,1.2456
longer_than_15_minute_gap,2012-05-04T20:45:00Z,2012-05-06T21:00:00Z,2895.0,1.30835,1.30167,-0.006679999999999797,0.006679999999999797,1.30846,1.30846,1.30806,1.30835,1.3013,1.30284,1.3013,1.30167
longer_than_15_minute_gap,2015-01-02T21:45:00Z,2015-01-04T22:00:00Z,2895.0,1.20009,1.19351,-0.00658000000000003,0.00658000000000003,1.20006,1.2003,1.20002,1.20009,1.19427,1.19491,1.18664,1.19351
longer_than_15_minute_gap,2015-01-23T21:45:00Z,2015-01-25T22:00:00Z,2895.0,1.12024,1.11381,-0.006429999999999936,0.006429999999999936,1.12081,1.121,1.12016,1.12024,1.11511,1.11569,1.11379,1.11381
longer_than_15_minute_gap,2020-03-06T21:45:00Z,2020-03-08T20:00:00Z,2775.0,1.12804,1.1344,0.006360000000000143,0.006360000000000143,1.12933,1.12952,1.12804,1.12804,1.13473,1.13479,1.13407,1.1344
