value,count,percentage
1,29,0.007126270134784799
2,28,0.006880536681861185
3,40,0.00982933811694455
4,56,0.01376107336372237
5,94,0.02309894457481969
6,140,0.034402683409305926
7,220,0.05406135964319503
8,363,0.0892012434112718
9,572,0.14055953507230706
10,1062,0.2609689270048778
11,1751,0.4302792760692477
12,3037,0.746292496529015
13,5972,1.4675201808598213
14,15810,3.8850458907223335
15,377771,92.8309722444065
