profile,eligible_daily_observations,date_start,date_end,weekday_order_high_to_low,rank_correlation_with_primary,kruskal_statistic,kruskal_p_value,epsilon_squared,significant
DEFAULT_RESEARCH,4127,2010-01-04,2026-06-25,Thursday|Friday|Wednesday|Tuesday|Monday,0.99999999999999989,80.52273228028551,1.3497534759654482e-16,0.018564466831704395,True
STRICT_CONTINUITY,3720,2011-01-03,2025-12-30,Thursday|Wednesday|Friday|Tuesday|Monday,0.8999999999999998,84.78150624726797,1.6878234745264013e-17,0.021744685396303625,True
SENSITIVITY_FULL,398,2010-01-04,2026-06-25,Tuesday|Friday|Thursday|Wednesday|Monday,0.29999999999999999,7.2289737152155107,0.12427155030423041,0.0082162181048740738,False
SENSITIVITY_2023,16,2023-01-30,2023-04-06,Tuesday|Friday|Wednesday|Monday|Thursday,-0.29999999999999999,2.132352941176471,0.71143111196460551,0,False
