profile,analysis_scope,weekday_name,sample_size,missing_count,mean,median,standard_deviation,variance,minimum,maximum,percentile_1,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,interquartile_range,median_absolute_deviation,coefficient_of_variation,skewness,excess_kurtosis,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper,proportion_above_full_sample_median,qq_plot_correlation,study_date_start,study_date_end
DEFAULT_RESEARCH,complete_weekday_dates,Monday,820,0,81.87670731707324,69.800000000000978,47.235734195559985,2231.2145849935946,16.899999999999693,369.9999999999992,24.276000000000963,31.590000000000561,37.089999999998959,50.600000000000641,99.125000000000455,137.14999999999836,170.66999999999848,257.39899999999915,48.524999999999814,23.000000000001904,0.57691296759939703,2.004304152213662,6.1157863230510472,78.607243902439095,84.90642987804884,67.200000000000585,73.499999999999673,0.39512195121951221,0.91594393715201738,2010-01-04,2026-06-25
DEFAULT_RESEARCH,complete_weekday_dates,Tuesday,825,0,90.887757575757604,79.899999999999409,47.06930139615141,2215.5191339217413,18.499999999999073,306.00000000000182,27.519999999999367,36.340000000000039,42.400000000000659,57.700000000000529,112.29999999999851,151.54000000000067,187.72000000000051,245.03999999999962,54.599999999997976,25.900000000000915,0.51788384543339372,1.3665828220653016,2.2065123549115144,87.583227272727342,94.03509696969698,75.699999999998539,82.699999999999989,0.48848484848484847,0.94712251286885896,2010-01-04,2026-06-25
DEFAULT_RESEARCH,complete_weekday_dates,Wednesday,825,0,95.315636363636358,83.199999999998823,52.243585432085816,2729.3922187996495,19.100000000000783,458.70000000000073,28.223999999998917,39.000000000000142,46.000000000000263,60.00000000000005,116.60000000000004,161.00000000000003,192.00000000000105,281.04000000000008,56.599999999999987,26.499999999998188,0.54811138471312926,2.1127970556809244,7.8988293274462791,91.793996969696906,99.083121212121227,80.200000000001381,87.099999999999952,0.53090909090909089,0.91796274964691738,2010-01-04,2026-06-25
DEFAULT_RESEARCH,complete_weekday_dates,Thursday,828,0,101.22922705314012,86.449999999999022,57.038695076590635,3253.4127360402849,17.599999999999838,458.79999999999916,27.527000000000477,39.869999999999187,47.200000000000571,61.700000000000088,125.2750000000008,169.93999999999957,205.72000000000065,310.75300000000107,63.575000000000713,28.449999999998752,0.56346073892916582,1.8884147347001801,5.4574243367854773,97.459414251207818,105.01854468599035,84.048749999999956,90.100000000000733,0.56038647342995174,0.92247009588802598,2010-01-04,2026-06-25
DEFAULT_RESEARCH,complete_weekday_dates,Friday,829,0,94.055126658624857,84.299999999999372,48.974667003522548,2398.5180081059202,13.900000000000023,424.99999999999983,26.240000000000308,37.300000000000111,43.460000000000498,59.899999999999395,116.99999999999821,162.9999999999998,193.05999999999997,242.76000000000013,57.099999999998815,27.599999999998737,0.52070172826705319,1.4336535225378404,3.4646023389128615,90.805247285886622,97.419402895054304,80.19999999999915,87.599999999998786,0.52352231604342581,0.94888770714197646,2010-01-04,2026-06-25
STRICT_CONTINUITY,complete_weekday_dates,Monday,733,0,78.71132332878588,67.69999999999942,44.760917037203725,2003.5396940114347,16.899999999999693,344.80000000000064,24.856000000000833,31.359999999998944,36.320000000000348,48.999999999999041,95.600000000000122,131.51999999999845,159.75999999999939,255.41199999999904,46.600000000001081,21.899999999999139,0.56867189045002375,2.0897654728385695,6.6963494238114958,75.636882673942793,82.131688267394381,65.399999999999906,70.5,0.39017735334242837,0.9120786261637861,2011-01-03,2025-12-30
STRICT_CONTINUITY,complete_weekday_dates,Tuesday,744,0,85.935752688172087,76.750000000000981,41.369212890827257,1711.4117752065879,18.499999999999073,278.20000000000175,27.399999999999647,36.214999999999662,41.499999999999424,56.300000000000239,105.62500000000085,140.9699999999998,162.65000000000077,226.1660000000002,49.325000000000614,23.299999999999429,0.48139699248274787,1.3354050657238392,2.4729385440244798,83.00803091397853,88.710147849462402,73.800000000001646,80.402499999999321,0.48118279569892475,0.95347027567863818,2011-01-03,2025-12-30
STRICT_CONTINUITY,complete_weekday_dates,Wednesday,745,0,92.752885906040248,81.299999999999699,50.794861207882953,2580.1179251280923,19.100000000000783,458.70000000000073,28.243999999999492,38.440000000000474,45.78000000000015,59.000000000000163,111.09999999999953,151.11999999999969,189.01999999999964,271.59199999999919,52.099999999999362,25.000000000001691,0.54763645046407217,2.3005125789973007,9.507818272955987,89.223328859060402,96.351154362416054,78.79999999999886,84.40000000000002,0.53557046979865774,0.90977860353911355,2011-01-03,2025-12-30
STRICT_CONTINUITY,complete_weekday_dates,Thursday,747,0,98.651405622490003,84.599999999999113,55.521290581245509,3082.613707807101,17.599999999999838,458.79999999999916,27.392000000000792,39.529999999999177,46.820000000001194,61.200000000000145,120.6000000000007,166.28000000000085,199.86999999999998,302.94199999999955,59.40000000000056,26.599999999998843,0.56280283317714908,2.0097268792992744,6.3584054705748763,94.786589692101828,102.72103413654624,82.699999999999989,87.800000000000097,0.56224899598393574,0.91727770880526571,2011-01-03,2025-12-30
STRICT_CONTINUITY,complete_weekday_dates,Friday,751,0,91.112916111850893,81.100000000000605,47.210376609579043,2228.8196596182879,13.900000000000023,424.99999999999983,25.899999999999814,36.749999999999837,43.199999999998795,58.35000000000035,110.40000000000049,156.60000000000005,186.65000000000043,233.9000000000002,52.050000000000139,24.99999999999946,0.51815240499627113,1.6107739232852705,4.6960195333371306,87.667593209054601,94.612223701730997,77.50000000000145,85.100000000000165,0.52197070572569904,0.94238794727329767,2011-01-03,2025-12-30
