utc_date,profile,daily_range_pips,lagged_trailing_median_range_pips,prior_regime_measure_count,past_only_low_threshold,past_only_high_threshold,volatility_regime,regime_warmup,regime_classification_reason,volatility_lookback,volatility_minimum_history,dataset_version,raw_sha256,audit_fingerprint,coverage_fingerprint,coverage_config_fingerprint,task04_config_fingerprint,preregistration_fingerprint,method_id,method_version,repository_version
2010-02-02,DEFAULT_RESEARCH,89.999999999998963,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-03,DEFAULT_RESEARCH,141.99999999999989,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-04,DEFAULT_RESEARCH,189.00000000000139,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-05,DEFAULT_RESEARCH,161.00000000000003,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-08,DEFAULT_RESEARCH,91.999999999998749,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-09,DEFAULT_RESEARCH,189.99999999999906,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-10,DEFAULT_RESEARCH,135.00000000000068,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-11,DEFAULT_RESEARCH,206.00000000000173,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-12,DEFAULT_RESEARCH,158.00000000000034,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-15,DEFAULT_RESEARCH,54.99999999999838,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-16,DEFAULT_RESEARCH,190.99999999999895,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-17,DEFAULT_RESEARCH,203.99999999999972,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
2010-02-18,DEFAULT_RESEARCH,211.99999999999883,,0,,,UNCLASSIFIED,True,lagged_lookback_not_complete,60,120,sha256:b2a41310927aa9a9,b2a41310927aa9a9f699ce474bf59c449e99c506bc883cdc73c947286500383c,670968cbfcf018abc59bbb64a4b2b3912bae9df44988542765748328caf9c61f,3bc8a6d9c44e9801dfddb625bad92839d3a7d64b582642d413087bdb4866c096,5681a86eb0c79fc5e45bbe164f321ef3f9e8deb438e6723bb2078c602148acb0,bffe342698403848906c4741a7ab3c51e3f4e16a616804f2527c1a778f636317,b3ed9fc7d657774b64ce012b8cd3dc38028e8396e739e3272119cf8523dd7e2c,RANGE-WEEKDAY-001,range-weekday-registered-replication-v2.2,git:5773f7b28fc53e972bf77eb015187620a32ab2ec+dirty
