analysis_period,date_start,date_end,sample_size,weekday_order_high_to_low,rank_correlation_with_full,kruskal_statistic,kruskal_p_value,epsilon_squared,significant,monday_median_pips,tuesday_median_pips,wednesday_median_pips,thursday_median_pips,friday_median_pips,significant_pairwise_count,significant_pairs,primary_significant_pairs_retained,primary_significant_pair_count
development_70,2010-01-04,2021-03-24,2888,Thursday|Friday|Wednesday|Tuesday|Monday,0.99999999999999989,73.734234213506681,3.6904278547604591e-15,0.024188079852066141,True,73.899999999998954,85.800000000000324,89.300000000001035,95.600000000000122,90.850000000001202,5,Monday<Tuesday|Monday<Wednesday|Monday<Thursday|Monday<Friday|Tuesday<Thursday,5,5
validation_30,2021-03-25,2026-06-25,1239,Wednesday|Thursday|Friday|Tuesday|Monday,0.69999999999999996,16.746362630270184,0.0021650133415888791,0.01032930521091587,True,60.350000000000122,64.500000000000668,72.049999999999045,71.999999999998735,67.099999999999937,2,Monday<Wednesday|Monday<Thursday,2,5
