analysis_period,date_start,date_end,sample_size,weekday_order_high_to_low,rank_correlation_with_full,kruskal_statistic,kruskal_p_value,epsilon_squared,significant,monday_median_pips,tuesday_median_pips,wednesday_median_pips,thursday_median_pips,friday_median_pips
full_eligible_sample,2010-01-04,2026-06-25,4127,Thursday|Friday|Wednesday|Tuesday|Monday,0.99999999999999989,80.52273228028551,1.3497534759654482e-16,0.018564466831704395,True,69.800000000000978,79.899999999999409,83.199999999998823,86.449999999999022,84.299999999999372
pre_2020,2010-01-04,2019-12-30,2572,Thursday|Friday|Wednesday|Tuesday|Monday,0.99999999999999989,71.416485933939441,1.1399104068007668e-14,0.026262752603794095,True,76.800000000001305,87.850000000000421,91.699999999998994,96.099999999998957,93.900000000000091
covid_era,2020-01-02,2021-12-31,516,Tuesday|Wednesday|Thursday|Friday|Monday,0.099999999999999992,9.6848903871533931,0.046083708472186617,0.011125030111846171,True,56.249999999999908,70.300000000000921,69.400000000000574,69.399999999999466,67.150000000000261
post_2021,2022-01-03,2026-06-25,1039,Thursday|Wednesday|Friday|Tuesday|Monday,0.8999999999999998,13.120163357775162,0.010703337345799471,0.0088202740404015115,True,64.800000000000409,67.500000000000341,74.349999999999682,76.999999999999289,69.09999999999971
development_70,2010-01-04,2021-03-24,2888,Thursday|Friday|Wednesday|Tuesday|Monday,0.99999999999999989,73.734234213506681,3.6904278547604591e-15,0.024188079852066141,True,73.899999999998954,85.800000000000324,89.300000000001035,95.600000000000122,90.850000000001202
validation_30,2021-03-25,2026-06-25,1239,Wednesday|Thursday|Friday|Tuesday|Monday,0.69999999999999996,16.746362630270184,0.0021650133415888791,0.01032930521091587,True,60.350000000000122,64.500000000000668,72.049999999999045,71.999999999998735,67.099999999999937
