profile,analysis_scope,weekday_name,sample_size,missing_count,mean,median,standard_deviation,variance,minimum,maximum,percentile_1,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,interquartile_range,median_absolute_deviation,coefficient_of_variation,skewness,excess_kurtosis,mean_ci_lower,mean_ci_upper,median_ci_lower,median_ci_upper,proportion_above_full_sample_median,qq_plot_correlation,study_date_start,study_date_end,volatility_regime
DEFAULT_RESEARCH,volatility_regime_low,Monday,528,0,68.242803030303079,60.299999999999798,35.014569823260707,1226.0200999079993,16.899999999999693,270.90000000000055,23.181000000000274,28.469999999999995,33.470000000000105,43.499999999998536,84.424999999999628,112.61999999999995,134.22499999999934,184.67899999999992,40.925000000001091,19.649999999998837,0.51308809527815791,1.813117239070269,5.5089212904275193,65.333129734848512,71.310331439393948,58.00000000000027,63.100000000000378,0.35416666666666669,0.93067148049747173,2010-09-14,2026-06-25,LOW
DEFAULT_RESEARCH,volatility_regime_low,Tuesday,535,0,76.594205607476624,68.999999999999062,36.855185072614574,1358.3046667366721,18.499999999999073,234.10000000000153,26.333999999999325,33.900000000000041,38.940000000001085,50.499999999998877,94.499999999999574,127.30000000000041,143.23000000000062,211.25999999999857,44.000000000000696,20.700000000000166,0.48117458468708257,1.3679219839648527,2.4731769942299806,73.628443925233654,79.886205607476668,65.00000000000172,72.499999999999787,0.48037383177570092,0.94944473182258771,2010-09-14,2026-06-25,LOW
DEFAULT_RESEARCH,volatility_regime_low,Wednesday,538,0,81.561152416356833,74.850000000000747,42.587416901844499,1813.6880783715103,19.100000000000783,441.09999999999872,26.285000000000402,34.400000000000759,41.769999999998973,54.199999999999804,95.625000000000853,131.63999999999956,155.15999999999937,227.74000000000063,41.425000000001049,20.75000000000049,0.52215320210830818,2.7190533228603431,15.319074323345948,78.123652416356848,85.229000929368013,71.69999999999898,78.29999999999896,0.55390334572490707,0.90142412273848327,2010-09-14,2026-06-25,LOW
DEFAULT_RESEARCH,volatility_regime_low,Thursday,540,0,88.237037037037098,76.300000000000253,51.385285161155288,2640.4475310932457,17.599999999999838,458.79999999999916,26.856000000001011,37.484999999999211,43.279999999999539,56.675000000000473,106.25000000000105,143.8700000000004,169.87499999999915,286.16399999999959,49.575000000000578,21.650000000000833,0.58235506184989583,2.6124332914310759,11.140289200554763,83.857703703703805,92.419754629629736,72.499999999999787,80.099999999999611,0.5537037037037037,0.88726902165046084,2010-09-14,2026-06-25,LOW
DEFAULT_RESEARCH,volatility_regime_low,Friday,543,0,82.373664825046063,75.400000000001015,41.589817299008956,1729.7129029649445,13.900000000000023,424.99999999999983,24.235999999999258,34.059999999998645,40.619999999999656,54.399999999998897,100.29999999999984,129.78000000000023,159.92999999999981,205.42999999999944,45.900000000000944,23.000000000001904,0.50489215682392941,2.0529179318779964,9.8200334963589384,79.097845303867459,85.903264272559809,71.499999999999901,78.499999999999119,0.5524861878453039,0.93187205144046903,2010-09-14,2026-06-25,LOW
DEFAULT_RESEARCH,volatility_regime_medium,Monday,175,0,91.346285714285813,80.599999999999554,44.288667441129775,1961.4860637109887,31.400000000001427,344.80000000000064,35.1060000000003,43.980000000000132,51.020000000001176,64.04999999999994,105.54999999999981,143.79999999999967,169.19999999999905,238.87999999999963,41.499999999999872,20.599999999999504,0.48484365943084418,2.2346630561644725,8.3212549140105523,85.247014285714329,98.005585714285758,76.800000000001305,89.099999999999724,0.41142857142857142,0.90723863391872839,2010-10-07,2026-04-23,MEDIUM
DEFAULT_RESEARCH,volatility_regime_medium,Tuesday,174,0,97.656321839080604,89.650000000000006,39.509718424417429,1561.0178499767501,40.100000000000691,306.00000000000182,42.2950000000003,53.020000000000287,59.899999999999395,70.124999999999773,115.27500000000079,148.93000000000038,168.63000000000028,226.45200000000037,45.150000000001015,21.149999999999778,0.40457921904453942,1.7362675925122568,4.9555941412966362,92.395977011494452,103.88459770114956,84.099999999998062,94.950000000000301,0.4942528735632184,0.93383988673465868,2010-10-07,2026-04-23,MEDIUM
DEFAULT_RESEARCH,volatility_regime_medium,Wednesday,168,0,105.88214285714291,92.600000000000449,54.620840401435771,2983.4362061591182,40.099999999998467,458.70000000000073,42.641000000000261,51.499999999999879,55.549999999998875,72.69999999999942,122.60000000000048,176.84999999999999,197.40999999999988,284.97000000000054,49.900000000001057,24.649999999999395,0.51586451622093321,2.5406943433214417,10.909207333815099,97.867321428571444,114.43982142857142,87.549999999999571,101.40000000000038,0.5357142857142857,0.88857156599532972,2010-10-07,2026-04-23,MEDIUM
DEFAULT_RESEARCH,volatility_regime_medium,Thursday,170,0,110.59352941176472,96.299999999999159,50.412523268156804,2541.422502262451,27.500000000000302,312.40000000000157,38.453000000001225,51.004999999999079,57.630000000000514,73.924999999999685,139.37499999999935,174.84999999999948,193.73499999999962,287.60099999999943,65.449999999999662,28.649999999998947,0.45583610122848667,1.2823622870206879,2.4009815974810849,102.95510294117648,118.42933823529413,90.549999999999244,106.79999999999912,0.58823529411764708,0.95397422087909611,2010-10-07,2026-04-23,MEDIUM
DEFAULT_RESEARCH,volatility_regime_medium,Friday,168,0,102.35595238095236,87.499999999999233,51.665875767744581,2669.3627188480168,27.200000000000557,271.99999999999892,32.138000000000311,44.305000000000035,50.190000000000843,64.049999999998278,125.64999999999938,184.57000000000062,209.68999999999929,254.50900000000001,61.600000000001103,27.549999999999521,0.50476669471505198,1.1134003921004005,0.76904286359140661,94.785014880952446,110.24385416666664,81.700000000000102,96.550000000000807,0.47023809523809523,0.95256419171642148,2010-10-07,2026-04-23,MEDIUM
DEFAULT_RESEARCH,volatility_regime_high,Monday,80,0,132.62625000000017,115.75000000000001,65.884762733450259,4340.8019604430365,43.800000000000502,342.00000000000006,45.30099999999981,49.655000000001337,62.370000000000033,83.15000000000127,168.77500000000157,227.00000000000162,251.89999999999893,312.76999999999958,85.625000000000298,34.499999999998984,0.49677015472766645,0.9782294999768294,0.52905519729938666,118.36603125000008,147.67912500000034,107.70000000000054,133.90125000000009,0.4375,0.96087299229390488,2010-10-22,2025-06-30,HIGH
DEFAULT_RESEARCH,volatility_regime_high,Tuesday,80,0,142.94125000000003,140.70000000000027,55.862246243592246,3120.5905553797361,47.29999999999901,278.20000000000175,55.832000000000527,63.040000000000319,72.840000000001012,101.64999999999979,177.25000000000045,224.19999999999973,246.39999999999947,275.67200000000099,75.600000000000662,39.200000000000351,0.39080563688642878,0.49410335000772965,-0.34060984025928764,130.68996875000002,155.75140624999995,125.89999999999989,147.99999999999923,0.58750000000000002,0.98509554902668772,2010-10-22,2025-06-30,HIGH
DEFAULT_RESEARCH,volatility_regime_high,Wednesday,83,0,141.82289156626496,134.99999999999844,58.687710778449372,3444.2473964149222,50.799999999999734,335.99999999999852,54.57200000000077,64.190000000000083,73.400000000000801,102.20000000000006,170.89999999999938,211.00000000000071,248.99999999999903,323.69999999999976,68.699999999999321,34.999999999998352,0.41380985911592616,0.98720549540686497,1.2901850774301922,129.87557228915645,154.48951807228906,118.09999999999876,149.99999999999901,0.53012048192771088,0.97053311705399137,2010-10-22,2025-06-30,HIGH
DEFAULT_RESEARCH,volatility_regime_high,Thursday,82,0,141.46219512195114,126.5000000000005,62.229689314337712,3872.5342321589969,49.099999999999696,363,59.630000000000337,71.355000000000047,77.769999999999882,96.500000000000469,173.900000000001,208.93999999999923,283.7300000000011,322.50000000000074,77.400000000000531,34.700000000000287,0.43990332018169942,1.2612354233146998,1.7921376096363133,128.40426829268264,154.75365853658522,105.64999999999935,146.99999999999935,0.48780487804878048,0.94853510571294708,2010-10-22,2025-06-30,HIGH
DEFAULT_RESEARCH,volatility_regime_high,Friday,83,0,132.20481927710853,119.19999999999931,54.380735253720339,2957.2643667352222,46.10000000000003,309.99999999999915,48.396000000000505,62.250000000000583,68.580000000000751,88.849999999999753,166.84999999999951,206.08000000000004,225.2300000000015,256.69999999999908,77.999999999999758,39.000000000000156,0.41133701139695478,0.66565720519285332,0.092634502975866173,120.68662650602403,143.876265060241,108.20000000000051,142.60000000000161,0.45783132530120479,0.97831269838141333,2010-10-22,2025-06-30,HIGH
